Song Name,Singer,Lyrics
Les démons de minuit,Images,"Rue déserte
Dernière cigarette
Plus rien ne bouge
Juste un bar qui éclaire le trottoir
D'un néon rouge
J'ai besoin
De trouver quelqu'un
J'veux pas dormir
Je cherche un peu de chaleur
À mettre dans mon cœur
Ils m'entraînent au bout de la nuit
Les démons de minuit
Ils m'entraînent jusqu'à l'insomnie
Les fantômes de l'ennui
Dans mon verre
Je regarde la mer
Qui se balance
J'veux un disque
De Funky Music
Il faut que ça danse
J'aime cette fille
Sur talons-aiguilles
Qui se déhanche
Ça met un peu de chaleur
Au fond de mon cœur
Ils m'entraînent au bout de la nuit
Les démons de minuit
Ils m'entraînent jusqu'à l'insomnie
Les fantômes de l'ennui
Ils m'entraînent au bout de la nuit
Les démons de minuit
Ils m'entraînent jusqu'à l'insomnie
Les fantômes de l'ennui
J'aime cette fille
Sur talons-aiguilles
Qui se déhanche
Ça met un peu de chaleur
Au fond de mon cœur
Ils m'entraînent au bout de la nuit
Les démons de minuit
Ils m'entraînent jusqu'à l'insomnie
Les fantômes de l'ennui
Ils m'entraînent au bout de la nuit
Les démons de minuit
Ils m'entraînent jusqu'à l'insomnie
Les fantômes de l'ennui
Ils m'entraînent au bout de la nuit
Les démons de minuit
Ils m'entraînent jusqu'à l'insomnie
Les fantômes de l'ennui"
Les lacs du Connemara,Michel Sardou,"Terre brûlée au vent
Des landes de pierre
Autour des lacs
C′est pour les vivants
Un peu d'enfer
Le Connemara

Des nuages noirs
Qui viennent du nord
Colorent la terre
Les lacs, les rivières
C′est le décor
Du Connemara

Au printemps suivant
Le ciel irlandais était en paix
Maureen a plongé
Nue dans un lac du Connemara


Sean Kelly s'est dit
Je suis catholique
Maureen aussi
L'église en granit de Limerick
Maureen a dit oui

De Tiperrary, Bally-Connelly
Et de Galway
Ils sont arrivés
Dans le comté du Connemara

Y avait les Connor, les O′Conolly
Les Flaherty, du Ring of Kerry
Et de quoi boire trois jours et deux nuits

Là-bas, au Connemara
On sait tout le prix du silence
Là-bas, au Connemara
On dit que la vie c′est une folie
Et que la folie ça se danse

Terre brûlée au vent
Des landes de pierre
Autour des lacs
C'est pour les vivants
Un peu d′enfer
Le Connemara

Des nuages noirs
Qui viennent du nord
Colorent la terre
Les lacs, les rivières
C'est le décor du Connemara

On y vit encore au temps des Gaels
Et de Cromwell
Au rythme des pluies et du soleil
Au pas des chevaux

On y croit encore aux monstres des lacs
Qu′on voit nager certains soirs d'été
Et replonger pour l′éternité

On y voit encore des hommes d'ailleurs
Venus chercher le repos de l'âme
Et pour le cœur, un goût de meilleur

L′on y croit encore que le jour viendra
Il est tout près, où les Irlandais
Feront la paix autour de la croix

Là-bas, au Connemara
On sait tout le prix de la guerre
Là-bas, au Connemara
On n′accepte pas
La paix des Gallois
Ni celle des rois d'Angleterre"
Loin,Nuit Incolore,"J'ai fait l'serment d'être utile à tout l'monde
Et d'croire les gens jusqu'à c'que le ciel tombe
J'suis déchiré en un double fragment
Me rassembler ne serait que ma tombe
Je me déplais tous les mois
Sans en sortir une plainte
Et quand j'use de ma voix
C'est pour laisser des empreintes
Aujourd'hui, chacun est roi
Dans un royaume familial
Je n'le mérite pas
Car j'ai l'coeur un peu trop seul
Et doucement, je mets en veille le temps
Puis je pense
À ceux qui dorment encore avec des rêves
Mais pourquoi je me sens si loin
Je m'abandonne dans l'éternité
M'a-t-on une seule fois désiré
J'me sens si loin
Je m'abandonne dans l'éternité
M'a-t-on une seule fois désiré
J'ai l'image fictive de nous deux
Un petit peu dénudés
Et dénué d'postérité
C'est pourtant ça la vérité
J'suis dans des bras
Sans lendemain
Je pleure tout bas
J'ai peur de ce qu'il pourrait advenir de moi
J'm'invente des souvenirs
Pour tuer le temps et me perdre comme avant
Je cherche à me relire
Mais je m'fais emporter par le vent
J'suis le fantôme d'un enfant
Et doucement, je mets en veille le temps
Puis je pense
À ceux qui dorment encore avec des rêves
Mais pourquoi je me sens si loin
Je m'abandonne dans l'éternité
M'a-t-on une seule fois désiré
J'me sens si loin
Je m'abandonne dans l'éternité
M'a-t-on une seule fois désiré
Au fond, je n'suis plus là
Je n'suis plus là pour moi
J'me sens si loin
Je m'abandonne dans l'éternité
M'a-t-on une seule fois désiré
J'me sens si loin
Je m'abandonne dans l'éternité
M'a-t-on une seule fois désiré"
MA DOUCE,Baby Gang and Gims,"Ma douce, oh ma douce, tu sais que je redoute ce jour
Ce jour où tu songeras, à m'mettre sur la touche
Les plumes que j'ai laissé sur le chemin bloquent la route
Ma douce, oh ma douceur, écoute jusqu'au bout
Tu m'as dérobé, tu m'as dérobé, une partie, une partie de moi
Tu m'as dérobé, tu m'as dérobé, une partie, une partie de moi
Ma douce, oh ma douce, tu sais que je redoute ce jour
Ce jour où tu songeras, à m'mettre sur la touche
Les plumes que j'ai laissé sur le chemin bloquent la route
Ma douce, oh ma douceur, écoute jusqu'au bout
I'm sorry, ma jolie, hobi, dis-moi si toi ça va
Lì fuori mi manca mamma, l'aria e la libertà
I'm sorry, ma jolie, hobi, dis-moi si toi ça va
Lì fuori mi manca mamma, l'aria e la libertà (la libertà)
La3bin kora ta7t l'7owma, ki Mbappé, ki Mbappé
Diego Armando Maradona o Pelé, o Pelé
""Il mio nome sarà una leggenda""
Lo dicevo sempre a Banga, lui diceva, ""Mamadou""
Che dei soldi a me non mi interessa
Non li porto mica in tomba, non li porto mica su
Non ne posso più, mischio whisky e rum
Canto, ho un déjà vu, uh
Ma douce, oh ma douce, tu sais que je redoute ce jour
Ce jour où tu songeras, à m'mettre sur la touche
Les plumes que j'ai laissé sur le chemin bloquent la route
Ma douce, oh ma douceur, écoute jusqu'au bout
Ta beauté l'emporte sur ton amour pour les sous
J'ai vu ton manège, alors c'est comme ça qu'tu la joues
Tu captes l'attention comme une gifle sur la joue (oh, oh, oh)
Ma douce, oh ma douceur, j'te suis jusqu'au trou
Tu m'as dérobé, tu m'as dérobé, une partie, une partie de moi
Tu m'as dérobé, tu m'as dérobé, une partie, une partie de moi
Ma douce, oh ma douce (oh, oh), tu sais que je redoute ce jour (oh, oh)
Ce jour où tu songeras (oh, oh) à m'mettre sur la touche (oh, oh, oh, oh)
Les plumes que j'ai laissé sur le chemin (oh, oh) bloquent la route (oh, oh, oh, oh)
Ma douce, oh ma douceur (oh, oh) écoute jusqu'au bout (oh, oh, oh, oh)
J'veux l'entendre encore, dis-le même si c'est pas vrai
Moi, j'suis ton Willy Wonka, j'm'investis, ouais, ouais
J'veux l'entendre encore, dis-le même si c'est pas vrai
J'suis ton Willy Wonka, j'm'investis, ouais, ouais
J'veux l'entendre encore, dis-le même si c'est pas vrai
Moi, j'suis ton Willy Wonka, j'm'investis, ouais, ouais
J'veux l'entendre encore, dis-le même si c'est pas vrai
J'suis ton Willy Wonka"
Mais je t’aime,Camille Lellouche and Grand Corps Malade,"Ne me raconte pas d'histoires
Tu sais bien ce qui ne tourne pas rond chez moi
Ne m'en demande pas trop
Tu sais bien que les fêlures sont profondes en moi
Ne t'accroche pas si fort si tu doutes
Ne t'accroche pas si fort si ça te coûte
Ne me laisse pas te quitter
Alors que je suis sûre de moi
Je te donne tout ce que j'ai
Alors essaie de voir en moi que
Je t'aime
Mais je t'aime
Je t'aime
Je t'aime
Je t'aime
Je t'aime
Je t'aime du plus fort que je peux
Je t'aime et je fais de mon mieux
On m'avait dit ""attends, tu vas voir, l'amour, c'est un grand feu
Ça crépite, ça illumine, ça brille, ça réchauffe, ça pique les yeux
Ça envoie des centaines de lucioles tout là-haut, au firmament
Ça s'allume d'un coup et ça éclaire le monde et la vie différemment""
Nous, on a craqué l'allumette pour l'étincelle de nos débuts
On a alimenté ce foyer de tous nos excès, de nos abus
On s'est aimé plus que tout, seuls au monde dans notre bulle
Ces flammes nous ont rendus fous
On a oublié qu'au final, le feu ça brûle
Et je t'aime
Je t'aime
Je t'aime
Je t'aime
Oui, je t'aime
Je t'aime
Je t'aime du plus fort que je peux
Je t'aime et je fais de mon mieux
Je m'approche tout près de notre feu et je transpire d'amertume
Je vois danser ces flammes jaunes et bleues, et la passion qui se consume
Pourquoi lorsque l'amour est fort, il nous rend vulnérables et fragiles?
Je pense à nous et je vacille, pourquoi depuis rien n'est facile?
Je t'aime en feu, je t'aime en or
Je t'aime soucieux, je t'aime trop fort
Je t'aime pour deux, je t'aime à tort
C'est périlleux, je t'aime encore
Alors c'est vrai, ça me perfore
Je t'aime ""pesant"", je t'aime ""bancal""
Évidemment ça me dévore
Je sais tellement que je t'aime mal
Si j'avance avec toi
C'est que je me vois faire cette danse dans tes bras
Des attentes, j'en ai pas
Tu me donnes tant d'amour, tant de force
Que je n'peux plus me passer d'toi
Si mes mots te blessent, c'est pas d'ta faute
Mes blessures sont d'hier
Il y a des jours plus durs que d'autres
Si mes mots te pèsent
J'y suis pour rien
J'y suis pour rien, rien
Mais je t'aime
Je t'aime
Je t'aime
Je t'aime
Je t'aime
Je t'aime
Je t'aime du plus fort que je peux
Je t'aime et je fais de mon mieux (tu fais d'ton mieux)
Mais je t'aime (je t'aime)"
Mistral gagnant,Renaud,"À m'asseoir sur un banc, cinq minutes, avec toi
Et regarder les gens, tant qu'y en a
Te parler du bon temps, qui est mort ou qui reviendra
En serrant dans ma main tes petits doigts
Pis donner à bouffer à des pigeons idiots
Leur filer des coups de pied pour de faux
Et entendre ton rire qui lézarde les murs
Qui sait surtout guérir mes blessures
Te raconter un peu comment j'étais, minot
Les bombecs fabuleux qu'on piquait chez l'marchand
Car-en-sac et Minto, caramels à un franc
Et les Mistral Gagnants
À remarcher sous la pluie, cinq minutes, avec toi
Et regarder la vie, tant qu'y en a
Te raconter la Terre en te bouffant des yeux
Te parler de ta mère, un petit peu
Et sauter dans les flaques pour la faire râler
Bousiller nos godasses et s'marrer
Et entendre ton rire comme on entend la mer
S'arrêter, repartir en arrière
Te raconter surtout les Carambars d'antan et les Coco Boers
Et les vrais Roudoudous qui nous coupaient les lèvres
Et nous niquaient les dents
Et les Mistral Gagnants
À m'asseoir sur un banc, cinq minutes, avec toi
Regarder le soleil qui s'en va
Te parler du bon temps, qui est mort et je m'en fous
Te dire que les méchants, c'est pas nous
Que si moi je suis barge, ce n'est que de tes yeux
Car ils ont l'avantage d'être deux
Et entendre ton rire s'envoler aussi haut
Que s'envolent les cris des oiseaux
Te raconter, enfin, qu'il faut aimer la vie
L'aimer même si le temps est assassin et emporte avec lui
Les rires des enfants
Et les Mistral Gagnants
Et les Mistral Gagnants"
Ne me quitte pas,Jacques Brel,"Ne me quitte pas
Il faut oublier
Tout peut s'oublier
Qui s'enfuit déjà
Oublier le temps
Des malentendus
Et le temps perdu
A savoir comment
Oublier ces heures
Qui tuaient parfois
A coups de pourquoi
Le cœur du bonheur
Ne me quitte pas
Ne me quitte pas
Ne me quitte pas
Ne me quitte pas

Moi je t'offrirai
Des perles de pluie
Venues de pays
Où il ne pleut pas
Je creuserai la terre
Jusqu'après ma mort
Pour couvrir ton corps
D'or et de lumière
Je ferai un domaine
Où l'amour sera roi
Où l'amour sera loi
Où tu seras reine
Ne me quitte pas
Ne me quitte pas
Ne me quitte pas
Ne me quitte pas

Ne me quitte pas
Je t'inventerai
Des mots insensés
Que tu comprendras
Je te parlerai
De ces amants-là
Qui ont vu deux fois
Leurs cœurs s'embraser
Je te raconterai
L'histoire de ce roi
Mort de n'avoir pas
Pu te rencontrer
Ne me quitte pas
Ne me quitte pas
Ne me quitte pas
Ne me quitte pas

On a vu souvent
Rejaillir le feu
D'un ancien volcan
Qu'on croyait trop vieux
Il est paraît-il
Des terres brûlées
Donnant plus de blé
Qu'un meilleur avril
Et quand vient le soir
Pour qu'un ciel flamboie
Le rouge et le noir
Ne s'épousent-ils pas
Ne me quitte pas
Ne me quitte pas
Ne me quitte pas
Ne me quitte pas

Ne me quitte pas
Je ne vais plus pleurer
Je ne vais plus parler
Je me cacherai là
A te regarder
Danser et sourire
Et à t'écouter
Chanter et puis rire
Laisse-moi devenir
L'ombre de ton ombre
L'ombre de ta main
L'ombre de ton chien
Ne me quitte pas
Ne me quitte pas
Ne me quitte pas
Ne me quitte pas."
"Non, je ne regrette rien",Édith Piaf,"Non, rien de rien
Non, je ne regrette rien
Ni le bien qu'on m'a fait
Ni le mal
Tout ça m'est bien égal
Non, rien de rien
Non, je ne regrette rien
C'est payé, balayé, oublié
Je me fous du passé
Avec mes souvenirs
J'ai allumé le feu
Mes chagrins, mes plaisirs
Je n'ai plus besoin d'eux
Balayé les amours
Avec leurs trémolos
Balayé pour toujours
Je repars à zéro
Non, rien de rien
Non, je ne regrette rien
Ni le bien qu'on m'a fait
Ni le mal
Tout ça m'est bien égal
Non, rien de rien
Non, je ne regrette rien
Car ma vie
Car mes joies
Aujourd'hui
Ça commence avec toi"
Nuit de Folie,Début de Soirée,"Y a pas de saison pour que vive la musique
Au fond, pas de saison pour que vive le son
En marchant tu donnes une cadence à tes pas
Tu sens la musique au bout de tes doigts
Tu dis que la vie qu'on t'a donnée est faite pour ça
Tant de choses grâce au son tu connaîtras
Ton cœur est un saphir de pick-up
On a trouvé des decibels dans ton check up
Et tu chantes, chantes, chantes ce refrain qui te plaît
Et tu tapes, tapes, tapes c'est ta façon d'aimer
Ce rythme qui t'entraîne jusqu'au bout de la nuit
Réveille en toi le tourbillon d'un vent de folie
Et tu chantes, chantes, chantes ce refrain qui te plaît
Et tu tapes, tapes, tapes c'est ta façon d'aimer
Ce rythme qui t'entraîne jusqu'au bout de la nuit
Réveille en toi le tourbillon d'un vent de folie
Tu danses le monde, musique américaine
La cadence du funk au plus haut t'emmène
Le tempo en délire, si ce soir il fait chaud
C'est qu'on monte nos mains vers le point le plus haut
Et tu chantes, chantes, chantes ce refrain qui te plaît
Et tu tapes, tapes, tapes c'est ta façon d'aimer
Ce rythme qui t'entraîne jusqu'au bout de la nuit
Réveille en toi le tourbillon d'un vent de folie
Et tu chantes, chantes, chantes ce refrain qui te plaît
Et tu tapes, tapes, tapes c'est ta façon d'aimer
Ce rythme qui t'entraîne jusqu'au bout de la nuit
Réveille en toi le tourbillon d'un vent de folie
Toi qui dessines au fond de ton ennui les notes d'une mélodie
Une musique sans accord majeur, c'est une piste sans danseur
Mais si tu ranges dans ces moments-là dans un placard tes idées noires
Les notes pourront se danser et nous reviendrons les chanter
Quand le sucre est tombé, choqué, le café renversé
Je sentais bien que la journée était mal commencée
Plus tard la caisse était cassée avant que craquent les chromes
Mettant la gomme j'avais détalé
La musique était mon sourire, les vieux succès mes souvenirs
On sent tous son dernier soupir lorsqu'on va mourir
Mais un souffle j'avais gardé car on ne peut pas trépasser
Chacun le sait sans voir un disque jockey
Et tu chantes, danses jusqu'au bout de la nuit
Tes flashes en musique funky
Y a la basse qui frappe et la guitare qui choque
Il y a le batteur qui s'éclate et toi qui tiens le choc
Et tu chantes, chantes, chantes ce refrain qui te plaît
Et tu tapes, tapes, tapes c'est ta façon d'aimer
Ce rythme qui t'entraîne jusqu'au bout de la nuit
Réveille en toi le tourbillon d'un vent de folie
Et tu chantes, chantes, chantes ce refrain qui te plaît
Et tu tapes, tapes, tapes c'est ta façon d'aimer
Ce rythme qui t'entraîne jusqu'au bout de la nuit
Réveille en toi le tourbillon d'un vent de folie
Et tu chantes, chantes, chantes ce refrain qui te plaît
Et tu tapes, tapes, tapes c'est ta façon d'aimer
Ce rythme qui t'entraîne jusqu'au bout de la nuit
Réveille en toi le tourbillon d'un vent de folie
"
On va s'aimer,Gilbert Montagné,"On va s'aimer
À toucher le ciel
Se séparer
À brûler nos ailes
Se retrouver
Comme les hirondelles
On va s'aimer
Tellement tu es belle
On va jeter
Les clés d'la maison
On va rêver
À d'autres saisons
On va quitter
Ces murs de prison
On va s'aimer
Sur une étoile ou sur un oreiller
Au fond d'un train ou dans un vieux grenier
Je veux découvrir ton visage
Où l'amour est né
On va s'aimer
Dans un avion, sur le pont d'un bateau
On va s'aimer à se brûler la peau
À s'envoler, toujours, toujours plus haut
Où l'amour est beau, oh-oh
On va s'aimer
Aux marches des églises
Se réchauffer
Au cœur des banquises
Se murmurer
Toutes ces bêtises
On va s'aimer
J'aime que tu dises
On va partir
Au bout d'une île
Pour découvrir
L'habit fragile
Se découvrir
Amoureux encore
On va s'aimer
Sur une étoile ou sur un oreiller
Au fond d'un train ou dans un vieux grenier
Je veux découvrir ton visage
Où l'amour est né
On va s'aimer
Dans un avion, sur le pont d'un bateau
On va s'aimer à se brûler la peau
À s'envoler, toujours, toujours plus haut
Où l'amour est beau
On va s'aimer
Sur une étoile ou sur un oreiller
Au fond d'un train ou dans un vieux grenier
Je veux découvrir ton visage
Où l'amour est né
On va s'aimer
Dans un avion, sur le pont d'un bateau
On va s'aimer à se brûler la peau
À s'envoler, toujours, toujours plus haut
Où l'amour est beau
On va s'aimer (eh-eh)
Oh, je veux découvrir ton visage
Où l'amour est né
On va s'aimer
Dans un avion, sur le pont d'un bateau
On va s'aimer à se brûler la peau
À s'envoler, toujours, toujours plus haut
Où l'amour est beau
Oui, on va s'aimer, eh, eh"
Où sont les femmes,Patrick Juvet,"Elles portent un blouson noir
Elles fument le cigare
Font parfois un enfant
Par hasard
Et dès que vient le soir
Elles courent dans le néant
Vers des plaisirs provisoires
Où sont les femmes?
Avec leurs gestes pleins de charme
Dites-moi où sont les femmes
Femmes, femmes, femmes, femmes
Où sont les femmes?
Qui ont des rires pleins de larmes
Auraient-elles perdu leur flamme
Flamme, flamme, flamme, flamme
Où sont les femmes?
Elles ne parlent plus d'amour
Elles portent les cheveux courts
Et préfèrent les motos
Aux oiseaux
Elles ont dans le regard
Quelque chose d'un robot
Qui étonne même les miroirs
Où sont les femmes?
Qu'on embrasse et puis qui se pâment
Dites-moi, où sont les femmes
Femmes, femmes, femmes, femmes
Où sont les femmes?
Qui ont ces drôles de vague à l'âme
Qu'on carresse et puis qui planent
Planent, planent, planent, planent
Où sont les femmes?
Où sont les femmes?
Qui vivent au bout des télégrammes
Dites-moi, où sont les femmes
Femmes, femmes, femmes, femmes
Où sont les femmes?
À la fois si belles et si pâles
Aux yeux qui traînent et qui flânent
Flânent, flânent, flânent, flânent
Où sont les femmes?
Avec leurs gestes pleins de charme
Dites-moi où sont les femmes
Femmes, Femmes, Femmes, Femmes
Où sont les femmes?
Qui ont des rires pleins de larmes
Auraient-elles perdu leur flamme
Flamme, flamme, flamme, flamme
Où sont les femmes?
Où sont les femmes?
Où sont les femmes?
Où sont les femmes?
Où sont les femmes?
Où sont les femmes?
Où sont les femmes?
Où sont les femmes?
Où sont les femmes?
Où sont les femmes?
Où sont les femmes?
Où sont les femmes?
Où sont les femmes?
Où sont les femmes?
Où sont les femmes?
Où sont les femmes?
Où sont les femmes?"
Papaoutai,Stromae,"Dites-moi d'où il vient
Enfin je saurai où je vais
Maman dit que lorsqu'on cherche bien
On finit toujours par trouver
Elle dit qu'il n'est jamais très loin
Qu'il part très souvent travailler
Maman dit ""Travailler c'est bien""
Bien mieux qu'être mal accompagné
Pas vrai?
Où est ton papa?
Dis-moi, où est ton papa?
Sans même devoir lui parler
Il sait ce qu'il ne va pas
Ah sacré papa
Dis-moi où es-tu caché?
Ça doit faire au moins mille fois
Que j'ai compté mes doigts
Hé
Où t'es? Papa où t'es?
Où t'es? Papa où t'es?
Où t'es? Papa où t'es?
Où t'es? Où t'es? Où Papa où t'es?
Où t'es? Papa où t'es?
Où t'es? Papa où t'es?
Où t'es? Papa où t'es?
Où t'es? Où t'es? Où Papa où t'es?
Où t'es?
Quoi, qu'on y croit ou pas
Il y aura bien un jour où on n'y croira plus
Un jour où l'autre on sera tous papa
Et d'un jour à l'autre, on aura disparu
Serons-nous détestables?
Serons-nous admirables?
Des géniteurs ou des génies
Dites-nous qui donne naissance aux irresponsables?
Ah, dites-nous qui, tiens
Tout le monde sait comment on fait des bébés
Mais personne ne sait comment on fait des papas
Monsieur je sais tout en aurait hérité, c'est ça?
Il faut le sucer de son pouce où quoi?
Dites-nous où c'est caché?
Ça doit faire au moins mille fois
Qu'on a bouffé nos doigts
Hé
Où t'es? Papa où t'es?
Où t'es? Papa où t'es?
Où t'es? Papa où t'es?
Où t'es? Où t'es? Où Papa où t'es?
Où t'es? Papa où t'es?
Où t'es? Papa où t'es?
Où t'es? Papa où t'es?
Où t'es? Où t'es? Où Papa où t'es?
Où t'es?
Où est ton papa?
Dis-moi, où est ton papa?
Sans même devoir lui parler
Il sait ce qu'il ne va pas
Ah sacré papa
Dis-moi où es-tu caché?
Ça doit faire au moins mille fois
Que j'ai compté mes doigts
Où est ton papa?
Dis-moi, où est ton papa?
Sans même devoir lui parler
Il sait ce qu'il ne va pas
Ah sacré papa
Dis-moi où es-tu caché?
Ça doit faire au moins mille fois
Que j'ai compté mes doigts
Hé
Où t'es? Papa où t'es?
Où t'es? Papa où t'es?
Où t'es? Papa où t'es?
Où t'es? Où t'es? Où Papa où t'es?
Où t'es? Papa où t'es?
Où t'es? Papa où t'es?
Où t'es? Papa où t'es?
Où t'es? Où t'es? Où Papa où t'es?
Où t'es?"
Par amour,Dadju,"Par amour, par amour j'ai dû affronter le regard de ton père
Par amour j'ai même fait semblant de regarder la mer
Tu dois sûrement te dire que c'était des paroles en l'air
Oui par amour j'ai appris à ne plus voir tes défauts
Je suis pas d'accord mais je te laisse avoir le dernier mot
Par amour je t'ai donné ce que j'avais de plus beau
Et je refuse de vivre à travers le regard des autres, des autres
Ouh, par amour j'étais prêt à donner même ce que je n'avais pas
J'ai su que c'était toi depuis le départ
Quand tu es loin de moi je me retrouve nulle part
Par amour (j'suis prêt à prendre les armes)
Par amour (moi j'essuierai tes larmes)
Par amour (rien n'éteindra la flamme, la flamme) par amour
Par amour, par amour j'ai dû affronter le regard de ton père
Tu penses sûrement que c'est des paroles en l'air
Par amour j'ai même fait semblant de regarder la mer
Je n'arrive même plus à voir tes défauts
J't'ai même laissé avoir le dernier mot
Je t'aurais même donné ce que je n'avais pas
J'ai su que c'était toi depuis le départ
Je saigne encore (je saigne encore)
Je saigne encore (je saigne encore)
Je saigne encore mais je t'attends depuis longtemps
Par amour, j'ai totalement sorti de ma tête de ce que tu étais hier
J'vois loin devant nous je ne regarderai pas derrière
C'est toi et moi en tête d'affiche sur toute les bannières
Et j'en suis fier, ouh par amour
J'ai fait d'la place, mon cœur j'ai dû l'agrandir
J'ai même adopté mon style de vie
Tout recentré sur toi, c'est devenu logique, oui
Ouh par amour, je te ferai briller avec ou sans le million
À cause de toi y a plus de Cendrillon
T'es devenue mon centre d'attention
Par amour (j'suis prêt à prendre les armes)
Par amour (moi j'essuierai tes larmes)
Par amour (rien n'éteindra la flamme, la flamme) par amour
Par amour, par amour j'ai dû affronter le regard de ton père
Tu penses sûrement que c'est des paroles en l'air
Par amour j'ai même fait semblant de regarder la mer
Je n'arrive même plus à voir tes défauts
J't'ai même laissé avoir le dernier mot
Je t'aurais même donné ce que je n'avais pas
J'ai su que c'était toi depuis le départ
Je saigne encore (je saigne encore)
Je saigne encore (je saigne encore)
Je saigne encore, mais je t'attends depuis longtemps
Je saigne encore, je saigne encore
Je saigne encore, je saigne encore
Par amour, par amour je te laisse me guider
Par amour, par amour, tu m'emmènes où tu veux
Par amour, par amour je te laisse me guider
Par amour, amour téléguidé
Par amour, par amour, par amour, par amour
Par amour, par amour, par amour, par amour
C'est par amour, par amour, par amour, par amour
Par amour, par amour, par amour, oh oh ah"
Partenaire particulier,Partenaire particulier,"Je suis un être à la recherche
Non pas de la vérité
Mais simplement d'une aventure
Qui sorte un peu de la banalité
J'en ai assez de ce carcan
Qui m'enferme dans toutes ces règles
Ils me disent de rester dans la norme
Mais l'on finit par s'y ennuyer
Alors je cherche et je trouverai
Cette fille qui me manque tant
Alors je cherche et je trouverai
Cette fille qui me tente tant
Qui me tente tant
Partenaire particulier
Cherche partenaire particulière
Débloquée, pas trop timide
Et une bonne dose de savoir-faire
Savoir-faire
Vous comprendrez que de tels péchés
Parfois sont difficiles à avouer
Ils sont autour de moi si coincés
Ce n'est pas parmi eux que je trouverai
Je dois trouver de nouveaux horizons
Mais je finis parfois par tourner en rond
Alors je cherche et je trouverai
Cette fille qui me manque tant
Alors je cherche et je trouverai
Cette fille qui me tente tant
Qui me tente tant
Partenaire particulier
Cherche partenaire particulière
Débloquée, pas trop timide
Et une bonne dose de savoir-faire
Savoir-faire
Alors je cherche et je trouverai
Cette fille qui me manque tant
Alors je cherche et je trouverai
Cette fille qui me tente tant
Alors je cherche et je trouverai
Cette fille qui me manque tant
Alors je cherche et je trouverai
Cette fille qui me tente tant
Qui me tente tant
Partenaire particulier
Cherche partenaire particulière
Débloquée, pas trop timide
Et une bonne dose de savoir-faire
Savoir-faire
Partenaire particulier
Cherche partenaire particulière
Débloquée, pas trop timide
Et une bonne dose de savoir-faire
Partenaire particulier
Cherche partenaire particulière
Débloquée, pas trop timide
Et une bonne dose de savoir-faire
Partenaire particulier
Cherche partenaire particulière
Débloquée, pas trop timide
Et une bonne dose de savoir-faire
Partenaire particulier
Cherche partenaire particulière"
Plus près des étoiles,Gold,"Ils ont quitté leurs terres
Leurs champs de fleurs et leurs livres sacrés
Traversés les rizières
Jusqu'au grand fleuve salé
Sans amour, sans un cri
Ils ont fermé leurs visages de miel
Les yeux mouillés de pluie
Les mains tendues vers le ciel
Un peu plus près des étoiles
Au jardin de lumière et d'argent
Pour oublier les rivages brûlants
Un peu plus près des étoiles
À l'abri des colères du vent
À peine un peu plus libres qu'avant
Au pied des murs de pierres
Ils ont brûlé leurs dragons de papier
Refermés leurs paupières
Sur les chenilles d'acier
Eux qui croyaient vieillir
En regardant grandir leurs enfants
À l'ombre du sourire
Des Bouddhas de marbre blanc
Un peu plus près des étoiles
Au jardin de lumière et d'argent
Pour oublier les rivages brûlants
Un peu plus près des étoiles
À l'abri des colères du vent
À peine un peu plus libres qu'avant
Ils parlent à demi-mots
À mi-chemin entre la vie et la mort
Et dans leurs yeux mi-clos
Du soleil, du soleil brille encore
Une île de lumière
Un cerf-volant s'est posé sur la mer
Un vent de liberté
Trop loin, trop loin pour les emporter
Un peu plus près des étoiles
Au jardin de lumière et d'argent
Pour oublier les rivages brûlants
Un peu plus près des étoiles
À l'abri des colères du vent
À peine un peu plus libres qu'avant
Un peu plus près des étoiles
Au jardin de lumière et d'argent
Pour oublier les rivages brûlants
Un peu plus près des étoiles
À l'abri des colères du vent
À peine un peu plus libres qu'avant
Un peu plus près des étoiles, au jardin
"
